ip,city,region,country,latitude,longitude,time
121.206.239.247,Nanping,Fujian,CN,27.3864812,118.0777547,242.361
90.197.7.217,London (Shadwell),England,GB,51.5081201,-0.07622237194643053,51.676
159.197.205.106,Mount Prospect,Illinois,US,42.0664167,-87.9372908,94.305
183.147.189.106,Jinhua,Zhejiang,CN,29.1080344,119.6486487,231.429
67.169.179.146,Petaluma,California,US,38.270022,-122.60612241304348,169.361
185.156.249.151,Ayamonte,Andalusia,ES,37.2142842,-7.4047386,43.772
92.252.114.89,Osnabrück (Gartlage),Lower Saxony,DE,52.2786386,8.05195396366625,32.316
104.149.226.199,Los Angeles,California,US,34.0536909,-118.242766,155.604
104.55.105.214,Wallingford,Connecticut,US,41.4570418,-72.8231552,138.171
113.224.122.134,Chaoyang Shi (Shuangta Qu),Liaoning,CN,41.53906645,120.43411157565629,230.22
109.136.207.24,Brussels,Brussels Capital,BE,50.8465573,4.351697,30.956
112.164.51.60,Seongnam-si (Buljeong-ro),Gyeonggi-do,KR,None,None,268.049
128.14.21.63,Los Angeles,California,US,34.0536909,-118.242766,872.861
116.7.242.6,Guangzhou Shi,Guangdong,CN,23.1301964,113.2592945,225.539
112.144.67.16,Yongsan-dong (Hangang-daero),Seoul,KR,37.5301906,126.9651428,299.382
93.202.249.228,Frankfurt am Main,Hesse,DE,50.1106444,8.6820917,52.186
115.225.214.244,Shaoxing Shi (Yuecheng Qu),Zhejiang,CN,30.01673,120.575832,246.054
98.33.63.137,San Francisco (Mission San Rafael),California,US,None,None,165.739
186.116.201.86,Socorro,Santander,CO,6.4670216,-73.2626198,170.485
5.54.60.240,Thesprotikó,Epirus,GR,39.2516728,20.7840565,95.604
218.61.29.118,Chaoyang Shi (Shuangta Qu),Liaoning,CN,41.53906645,120.43411157565629,267.691
36.82.176.221,Jakarta,Jakarta,ID,-6.1875613,106.8277658,205.116
65.132.152.28,Lewiston,Idaho,US,46.4195913,-117.0216144,168.437
94.226.21.122,Mechelen,Flanders,BE,51.0281381,4.4803453,28.222
164.90.174.115,Frankfurt am Main,Hesse,DE,50.1106444,8.6820917,31.862
73.12.174.245,Sacramento,California,US,38.5810606,-121.4938951,174.372
36.228.154.95,Taipei,Taiwan,TW,23.3378623,121.3111397456349,293.925
112.86.39.56,Suqian Shi (Sucheng Qu),Jiangsu,CN,33.8749775,118.2763099,261.213
72.184.189.61,Largo,Florida,US,27.9094665,-82.7873244,127.329
89.12.22.149,Berlin,Berlin,DE,52.5170365,13.3888599,39.836
71.188.53.193,Camden,New Jersey,US,39.9448402,-75.1198911,108.453
2.135.29.104,Kostanay,Qostanay,KZ,53.2046156,63.549854554025714,107.329
92.208.185.104,Frankfurt am Main,Hesse,DE,50.1106444,8.6820917,36.247
114.238.173.148,Qinnan,Jiangsu,CN,21.9434443,108.653776,249.36
14.79.228.34,Seongnam-si (Buljeong-ro),Gyeonggi-do,KR,None,None,262.044
1.240.55.6,Seoul (Toegye-ro),Seoul,KR,37.561238,126.9940163,249.767
98.255.243.16,Los Angeles,California,US,34.0536909,-118.242766,175.707
46.166.214.166,Tomsk,Tomsk Oblast,RU,56.488712,84.952324,103.303
211.104.91.72,Dogok-dong,Seoul,KR,37.4885367,127.04407631646578,267.085
178.7.35.129,Frankfurt am Main,Hesse,DE,50.1106444,8.6820917,45.534
60.116.129.115,Minato-ku,Tokyo,JP,35.6432274,139.7400553,262.447
88.41.200.225,Milan,Lombardy,IT,45.4668,9.1905,46.603
84.25.229.237,Brunssum,Limburg,NL,50.943821549999996,5.974825084719281,29.854
